subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77105,DSS2-77105-353626070751248,Create_Daily_BasalCrCf_Profile,DSS2_77105_Profile_Parameter_Schedule,0 13 ? Jan-June SUN 2021,Every Sunday 13:00 GMT,ENABLED,"{""thing_id"":""DSS2-77105-353626070751248"", ""subject_id"": ""77105"", ""request_length"": 41340, ""request_interval"": 5 }",thing_id:DSS2-77105-353626070751248 ; Schedule: Every SUNDAY 13:00 GMT - 08:00 EST - 09:00 EDT ; Dynamo DB data-type 'profile'
77106,DSS2-77106-353627079610674,Calculate_Engagement_Metric,DSS2_77106_Engagement_Metric_Schedule,40 5 * * ? *,Every day 5:40 GMT,ENABLED,"{""thing_id"":""DSS2-77106-353627079610674"", ""subject_id"":""77106""}",thing_id:DSS2-77106-353627079610674 ; Schedule: 05:40 GMT -  00:40 EST - 01:40 EDT ; Dynamo DB data-type 'engagement_metric'
77106,DSS2-77106-353627079610674,PredictAdvisoryParams,DSS2_77106_Advisory_Parameter_Schedule,45 7 * * ? *,Every day 7:45 GMT,ENABLED,"{""thing_id"":""DSS2-77106-353627079610674"", ""subject_id"":""77106""}",thing_id:DSS2-77106-353627079610674 ; Schedule: 07:45 GMT - 02:45 EST - 3:45 EDT  ; Dynamo DB data-type 'advisory'
77106,DSS2-77106-353627079610674,Create_Daily_Basal_Profile,DSS2_77106_Daily_Basal_Schedule,30 17 * * ? *,Every day 17:30 GMT,ENABLED,"{""thing_id"":""DSS2-77106-353627079610674"", ""subject_id"": ""77106"", ""request_length"": 2730, ""request_interval"": 5 }",thing_id:DSS2-77106-353627079610674 ; Schedule: 17:30 GMT - 12:30 EST - 13:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77106,DSS2-77106-353627079610674,Create_Daily_SI_Params,DSS2_77106_Daily_SIParams_Schedule,50 17 * * ? *,Every day 17:50 GMT,ENABLED,"{""thing_id"":""DSS2-77106-353627079610674"", ""subject_id"": ""77106"", ""request_length"": 2750, ""request_interval"": 5 }",thing_id:DSS2-77106-353627079610674 ; Schedule: 17:50 GMT - 12:50 EST - 13:50 EDT ; Dynamo DB data-type 'dailysiparams'
77106,DSS2-77106-353627079610674,Create_Daily_BasalCrCf_Profile,DSS2_77106_Profile_Parameter_Schedule,0 14 ? Nov-Jan TUE 2020-2021,Every Tuesday 14:00 GMT,ENABLED,"{""thing_id"":""DSS2-77106-353627079610674"", ""subject_id"": ""77106"", ""request_length"": 41400, ""request_interval"": 5 }",thing_id:DSS2-77106-353627079610674 ; Schedule: Every TUESDAY 14:00 GMT - 09:00 EST - 10:00 EDT ; Dynamo DB data-type 'profile' 
77107,DSS2-77107-353626070754671,Calculate_Engagement_Metric,DSS2_77107_Engagement_Metric_Schedule,42 5 * * ? *,Every day 5:42 GMT,ENABLED,"{""thing_id"":""DSS2-77107-353626070754671"", ""subject_id"":""77107""}",thing_id:DSS2-77107-353626070754671; Schedule: 05:42 GMT -  00:42 EST - 01:42 EDT ; Dynamo DB data-type 'engagement_metric'
77107,DSS2-77107-353626070754671,PredictAdvisoryParams,DSS2_77107_Advisory_Parameter_Schedule,0 8 * * ? *,Every day 8:00 GMT,ENABLED,"{""thing_id"":""DSS2-77107-353626070754671"", ""subject_id"":""77107""}",thing_id:DSS2-77107-353626070754671; Schedule: 08:00 GMT -  03:00 EST - 04:00 EDT ; Dynamo DB data-type 'advisory'
77107,DSS2-77107-353626070754671,Create_Daily_Basal_Profile,DSS2_77107_Daily_Basal_Schedule,0 18 * * ? *, Every day 18:00 GMT,ENABLED,"{""thing_id"":""DSS2-77107-353626070754671"", ""subject_id"": ""77107"", ""request_length"": 2760, ""request_interval"": 5 }",thing_id:DSS2-77107-353626070754671; Schedule: 18:00 GMT -  13:00 EST - 14:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77107,DSS2-77107-353626070754671,Create_Daily_SI_Params,DSS2_77107_Daily_SIParams_Schedule,20 18 * * ? *, Every day 18:20 GMT,ENABLED,"{""thing_id"":""DSS2-77107-353626070754671"", ""subject_id"": ""77107"", ""request_length"": 2780, ""request_interval"": 5 }",thing_id:DSS2-77107-353626070754671 ; Schedule: 18:20 GMT - 13:20 EST - 14:20 EDT ; Dynamo DB data-type 'dailysiparams'
