Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Deli & Luncheon Meat,Deli Thin Sliced Smoked Ham,60,10.0,1.5,1.0,4.0,40.0,13.5,57.5,0.23478260869565218,0.06956521739130435,0.6956521739130435,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-deli-thin-sliced-smoked-ham/eOwhSicfQbSYipkiW7qCOg
Kroger,Fish,Baked Alaskan Sockeye Salmon Fillets,180,23.0,9.0,0.0,0.0,92.0,81.0,173.0,0.4682080924855491,0.0,0.5317919075144508,https://www.calorieking.com/us/en/foods/f/calories-in-fish-baked-alaskan-sockeye-salmon-fillets/0EwowtMoRtaTBaXuzmZT1Q
Kroger,Cakes,"Loaf Cake, Blueberry",160,2.0,8.0,20.0,80.0,8.0,72.0,160.0,0.45,0.5,0.05,https://www.calorieking.com/us/en/foods/f/calories-in-cakes-loaf-cake-blueberry/tV9ACu8LRMaTZwkOgNofVg
Kroger,Fish,Raw Large Shrimps,120,23.0,2.0,1.0,4.0,92.0,18.0,114.0,0.15789473684210525,0.03508771929824561,0.8070175438596491,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-large-shrimps/ZwmxdRhdRyiFQn9gEX0ljg
Kroger,Deli & Luncheon Meat,Honey Ham Water Added,30,4.0,1.0,1.0,4.0,16.0,9.0,29.0,0.3103448275862069,0.13793103448275862,0.5517241379310345,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-honey-ham-water-added/aV-OJPY-QZ6wzq7uyACv4w
Kroger,Canned Meals,Premium Chicken Breast,60,11.0,1.0,0.0,0.0,44.0,9.0,53.0,0.16981132075471697,0.0,0.8301886792452831,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-premium-chicken-breast/XtK5NJoBRRuxZZPQPUtvyg
Kroger,Cheese,"Mild Chedddar & Monterey Jack, shredded",100,7.0,8.0,1.0,4.0,28.0,72.0,104.0,0.6923076923076923,0.038461538461538464,0.2692307692307692,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-mild-chedddar-monterey-jack-shredded/umhz8NpOSt-_SxgzWbMCiA
Kroger,Pretzels,Rod Pretzels,110,3.0,1.0,23.0,92.0,12.0,9.0,113.0,0.07964601769911504,0.8141592920353983,0.10619469026548672,https://www.calorieking.com/us/en/foods/f/calories-in-pretzels-rod-pretzels/dPaSGCv9R7Gjp2TlhKicUw
Kroger,Deli & Luncheon Meat,Smoked Honey Ham,80,10.0,2.5,3.0,12.0,40.0,22.5,74.5,0.30201342281879195,0.1610738255033557,0.5369127516778524,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-smoked-honey-ham/bfkyc7XBR-OIdDUDWme0HA
Kroger,Deli & Luncheon Meat,Oven Roasted Turkey Breast & White Turkey,30,5.0,0.5,2.0,8.0,20.0,4.5,32.5,0.13846153846153847,0.24615384615384617,0.6153846153846154,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-oven-roasted-turkey-breast-white-turkey/9CcU4HJ7TEmNxW_WsW5Auw
Kroger,Breads,"Sliders Mini Buns, 100% Whole Wheat",70,3.0,1.0,13.0,52.0,12.0,9.0,73.0,0.1232876712328767,0.7123287671232876,0.1643835616438356,https://www.calorieking.com/us/en/foods/f/calories-in-breads-sliders-mini-buns-100-whole-wheat/gRTXC5KuSCKkiHOmMHmx5A
Kroger,Cheese,"American, singles",60,4.0,4.0,1.0,4.0,16.0,36.0,56.0,0.6428571428571429,0.07142857142857142,0.2857142857142857,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-american-singles/9Kam6joqSlGTKdqtf-BjVw
Kroger,"Franks, Wieners & Sausages",Hot Pork Sausage,240,8.0,22.0,2.0,8.0,32.0,198.0,238.0,0.8319327731092437,0.03361344537815126,0.13445378151260504,https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-hot-pork-sausage/X0j_xcVTS5SFNwdEqsKWeQ
